//	Structure for each line:
//	Number	-tab-	Name	-tab-	"Recipe"
//	Strand names will be strings, but are not allowed to contain spaces. Strand names must start with a letter.
// "Recipe" will be a space separated list of domains which compose a given strand. All recipes should be entered 5' to 3'. The notation "c." can be used to represent the compliment of a given domain.	
1	Scaffold m13mp18
1	S-dNAM03-1d-LL-17	   d-dNAM03-1d-LL-17
2	S-dNAM03-1d-S18	   d-dNAM03-1d-S18
3	S-dNAM03-1d-S19	   d-dNAM03-1d-S19
4	S-dNAM03-1d-S20	   d-dNAM03-1d-S20
5	S-dNAM03-1d-S21	   d-dNAM03-1d-S21
6	S-dNAM03-1d-S22	   d-dNAM03-1d-S22
7	S-dNAM03-1d-S23	   d-dNAM03-1d-S23
8	S-dNAM03-1d-S24	   d-dNAM03-1d-S24
9	S-dNAM03-1d-S25	   d-dNAM03-1d-S25
10	S-dNAM03-1-LL-01	   d-dNAM03-1-LL-01
11	S-dNAM03-1-LL-02	   d-dNAM03-1-LL-02
12	S-dNAM03-1-LL-03	   d-dNAM03-1-LL-03
13	S-dNAM03-1-LL-04	   d-dNAM03-1-LL-04
14	S-dNAM03-1-LL-05	   d-dNAM03-1-LL-05
15	S-dNAM03-1-LL-06	   d-dNAM03-1-LL-06
16	S-dNAM03-1-LL-07	   d-dNAM03-1-LL-07
17	S-dNAM03-1-LL-08	   d-dNAM03-1-LL-08
18	S-dNAM03-1-LL-09	   d-dNAM03-1-LL-09
19	S-dNAM03-1-LL-10	   d-dNAM03-1-LL-10
20	S-dNAM03-1-LL-11	   d-dNAM03-1-LL-11
21	S-dNAM03-1-LL-12	   d-dNAM03-1-LL-12
22	S-dNAM03-1-LR-01	   d-dNAM03-1-LR-01
23	S-dNAM03-1-LR-02	   d-dNAM03-1-LR-02
24	S-dNAM03-1-LR-03	   d-dNAM03-1-LR-03
25	S-dNAM03-1-LR-04	   d-dNAM03-1-LR-04
26	S-dNAM03-1-LR-05	   d-dNAM03-1-LR-05
27	S-dNAM03-1-LR-06	   d-dNAM03-1-LR-06
28	S-dNAM03-1-LR-07	   d-dNAM03-1-LR-07
29	S-dNAM03-1-LR-08	   d-dNAM03-1-LR-08
30	S-dNAM03-1-LR-09	   d-dNAM03-1-LR-09
31	S-dNAM03-1-LR-10	   d-dNAM03-1-LR-10
32	S-dNAM03-1-LR-11	   d-dNAM03-1-LR-11
33	S-dNAM03-1-LR-12	   d-dNAM03-1-LR-12
34	S-dNAM03-1-LR-13	   d-dNAM03-1-LR-13
35	S-dNAM03-1-LR-14	   d-dNAM03-1-LR-14
36	S-dNAM03-1-S01	   d-dNAM03-1-S01
37	S-dNAM03-1-S02	   d-dNAM03-1-S02
38	S-dNAM03-1-S03	   d-dNAM03-1-S03
39	S-dNAM03-1-S04	   d-dNAM03-1-S04
40	S-dNAM03-1-S05	   d-dNAM03-1-S05
41	S-dNAM03-1-S06	   d-dNAM03-1-S06
42	S-dNAM03-1-S07	   d-dNAM03-1-S07
43	S-dNAM03-1-S08	   d-dNAM03-1-S08
44	S-dNAM03-1-S09	   d-dNAM03-1-S09
45	S-dNAM03-1-S10	   d-dNAM03-1-S10
