Cycle #, Lineage 1 Weighted fitness score (W), Lineage 2 Weighted fitness score (W), Lineage 3 Weighted fitness score (W), Lineage 4 Weighted fitness score (W), Lineage 5 Weighted fitness score (W), Lineage 6 Weighted fitness score (W), Lineage 7 Weighted fitness score (W), Lineage 8 Weighted fitness score (W),
0, 22222236000024851833187710, 18000142088852353610, 11111143777802578368862910, 133333345568080575010479910, 11111115000046598670942510, 1244444462444485277753634810, 1233333340333481094191940010, 4888898311011417110,
1.0, 22222236000024838368059010, 18000142087660090610, 11111143777802455374543710, 133333345568080446073231710, 11111115000046477089874210, 1244444462444485268937358410, 1233333340333481093273449410, 4888898307265854110,
2.0, 22222236000024702557863010, 18000142054825470310, 11111143777802455374543710, 133333345568080311473225810, 11111115000046475955573110, 1244444462444485106480822910, 1233333340333480969583784910, 4888898293002174410,
3.0, 22222236000024568043751110, 18000142053116060510, 11111143777802444147141810, 133333345568080296644920510, 11111115000045254579156810, 1244444462444485103102000710, 1233333340333480955853489310, 4888898291469340410,
4.0, 22222236000023321097166710, 18000141943336513510, 11111130222248135087230810, 133333345568080296460571510, 11111115000045241757323110, 1244444462444483991865816810, 1233333340333480931219952810, 4888898288928340610,
5.0, 22222236000023282587589410, 18000141941359267910, 11111130222248123526852110, 133333345568079050115031710, 11111115000045228773771510, 1244444462444483976333594310, 1233333340333480930115372510, 4888898288513606910,
6.0, 22222236000023282587589410, 18000141939067781610, 11111130222247876486626210, 133333345568079048949492410, 11111115000045094504264810, 1244444462444483975021860510, 1233333340333480908066195710, 4888898288513606910,
7.0, 22222235888912180189593610, 18000141936282842410, 11111130222247848100879310, 133333345568079046685129410, 11111115000044983586770810, 1244444462444483975021860510, 1233333340333479916870433610, 4888898285432245910,
8.0, 22222235888912180189593610, 18000141897131624110, 11111130222247736714921310, 133333345568079041944206910, 11111115000043871292078110, 1244444461333372861748287010, 1233333340333479916870433610, 4888898040958551910,
9.0, 22222235888912167105879510, 18000141715439651110, 11111130222247736714921310, 133333345568079041737480310, 11111115000042633247004810, 1244444461333372848318257010, 1233333340333479904451367710, 4888898027577289410,
10.0, 22222235888912164672684710, 18000141714425049910, 11111130222247735307901510, 133333344456970274400042210, 11111115000042607434809310, 1244444461333372736518960810, 1233333340333479902960664710, 4888898027577289410,
20.0, 22222235888899641815022810, 18000141410881719210, 11111130222232744088194610, 133333342000168997950868810, 11111114888930096913610510, 1244444461333371198412658910, 1233333340333476870584135810, 4888896873084123810,
30.0, 22222235777788265836213010, 18000140082213466810, 11111130111120275032144410, 133333341889053860751773610, 11111114888929792564882910, 1244444461333370902984753710, 1233333340333476545075457710, 4888896612241829310,
40.0, 22222235666675752440552910, 18000139920679023910, 11111129000008870613208410, 133333341889052559504209510, 11111114888925500541493810, 1244444461333369594514052310, 1233333339222364040093837310, 4888896443542728210,
50.0, 22222235666675331464902810, 18000127401271659310, 11111116777786334338767410, 133333341889050039431146810, 11111114888925339170907610, 1244444450222247138793337810, 1233333339111240327520005410, 4888896387015047210,
60.0, 22222235666673771007014110, 18000127342890967010, 11111116777786261799543410, 133333341666827782509463110, 11111113666701812671350410, 1244444450222244362004805510, 1233333339111116707081435010, 4888895004698737010,
70.0, 11111124555562616982440310, 18000127295836327310, 11111116777786193246799710, 133333341666824855045541010, 11111113555590461799323610, 1244444450222231848261873910, 1233333339111116401201065810, 4777783742324661010,
80.0, 11111124444451323159424010, 16889016145626580810, 11111115555562691366095510, 133333341666809888777089410, 11111113444478235918209610, 1244444450111120397366967510, 1233333339111116354006772010, 3666672602042831410,
90.0, 11111124444451249852786310, 16777904847183712710, 11111115444451258224737110, 133333341666809853379911610, 11111113444476916734687610, 1244444450111118940289508310, 1233333339111116300739433010, 3666672473689762910,
100.0, 11111124444451071780596910, 16777904704551175410, 11111115444451172504466310, 133333341666809585209879810, 11111113333352106219137110, 1244444450111118776962980410, 1233333339111116276431897410, 3666672277335741810,
200.0, 11111124333335003805204310, 4222347189177844910, 11111113000002168769185710, 22222226777792706940326710, 11111113000016577475218310, 11111115444447724584514510, 11111115555558538906751210, 1222225049024922610,
300.0, 11111112000001250493267610, 2889013489517701110, 11111113000001384573417910, 22222224222223319211482510, 11111112888903697519173510, 11111115222224799149908010, 3111112522489513010, 1111113275764925410,
400.0, 11111111888889820801001210, 2777779894364207010, 11111111555556605865996810, 11111113000000776982354910, 11111112888889820768266210, 11111115222223116010181110, 1555556709322320110, 1000000757867169710,
500.0, 11111111777778524147485410, 2555557396756618910, 11111111555556235847847110, 11111112888889483852963010, 11111111444445153493397610, 11111112555556206928452010, 1444445229894660210, 777778444260603410,
600.0, 11111111555557436144564410, 1333335077176639710, 11111111555556105397033410, 11111112666667196612283210, 11111111444445014180602810, 11111112444444958006163210, 1444445146267733310, 666667232924230510,
700.0, 11111111555556148621985810, 1333335025973699710, 11111111555556043413394310, 11111112555556030946635410, 11111111222222716279562310, 11111112444444915903008910, 1444444919090822810, 444444975276424210,
800.0, 11111111555556111117283510, 1222223877402814310, 11111111555555985417505610, 11111112555555975060151110, 11111111111111582524111910, 11111111333333778558745110, 1333333879115431110, 111111567494025010,
900.0, 222222642021159310, 410199771610, 11111111333334968141653110, 11111111444444823524534610, 11111111111111530948668410, 11111111333333752887957110, 1333333716160649110, 431684601510,
1000.0, 111111499910003110, 394499339310, 222222583808101510, 11111111333333690339477610, 11111111111111496072058210, 11111111333333723775642710, 1333333689785293510, 398758761910,
