Cycle #, Lineage 1 Score, Lineage 2 Score, Lineage 3 Score, Lineage 4 Score, Lineage 5 Score, Lineage 6 Score, Lineage 7 Score, Lineage 8 Score,
0, 62200, 86800, 60600, 41800, 285600, 31800, 1041400, 59000,
1.0, 15600, 86800, 32600, 16000, 36600, 10800, 62000, 37000,
2.0, 10800, 15200, 17000, 11400, 17800, 10800, 36000, 34600,
3.0, 10400, 15200, 17000, 11400, 10400, 10800, 36000, 10400,
4.0, 10400, 11800, 13600, 9400, 10400, 8200, 34400, 10400,
5.0, 10400, 11800, 12400, 9400, 10400, 8200, 14400, 10400,
6.0, 10400, 11800, 10400, 7400, 10400, 8200, 12400, 10400,
7.0, 10200, 11800, 8200, 7400, 10400, 8200, 12400, 9800,
8.0, 10200, 11800, 8200, 7400, 10400, 8200, 12200, 9800,
9.0, 10200, 11800, 8200, 7400, 10400, 8200, 10200, 9800,
10.0, 10200, 11800, 8200, 7400, 10400, 8200, 10200, 9800,
20.0, 8400, 8400, 6400, 7400, 7800, 6200, 7800, 7800,
30.0, 6400, 6200, 6400, 7400, 7800, 6200, 6000, 6400,
40.0, 6200, 6200, 6400, 7400, 7800, 6200, 6000, 6400,
50.0, 6200, 6200, 6400, 7400, 5800, 6200, 6000, 6200,
60.0, 6200, 6200, 6400, 7400, 5800, 6200, 6000, 6200,
70.0, 6200, 6200, 6400, 7400, 5800, 6200, 6000, 6200,
80.0, 6200, 6200, 6400, 6400, 5800, 6200, 6000, 5600,
90.0, 6200, 6200, 6400, 6400, 5800, 6200, 6000, 5600,
100.0, 6200, 6200, 6400, 6400, 5800, 6000, 6000, 5600,
200.0, 6000, 6200, 5600, 6400, 5800, 6000, 5800, 5600,
300.0, 6000, 6000, 5600, 5800, 5800, 6000, 5800, 5600,
400.0, 6000, 6000, 5600, 5800, 5800, 6000, 5800, 5600,
500.0, 6000, 6000, 5600, 5800, 5800, 6000, 5800, 5600,
600.0, 6000, 6000, 5600, 5800, 5800, 6000, 5800, 5600,
700.0, 6000, 6000, 5600, 5800, 5800, 6000, 5800, 5600,
800.0, 6000, 6000, 5600, 5800, 5800, 6000, 5800, 5600,
900.0, 6000, 6000, 5600, 5800, 5800, 5800, 5800, 5600,
1000.0, 6000, 6000, 5600, 5800, 5800, 5800, 5800, 5600,
2000.0, 6000, 5800, 5600, 5800, 5600, 5800, 5800, 5600,
3000.0, 6000, 5800, 5600, 5800, 5600, 5800, 5800, 5600,
4000.0, 5800, 5800, 5600, 5800, 5600, 5800, 5800, 5600,
5000.0, 5800, 5800, 5600, 5800, 5600, 5800, 5800, 5600,
6000.0, 5800, 5600, 5600, 5800, 5600, 5800, 5800, 5600,
7000.0, 5600, 5600, 5600, 5800, 5600, 5800, 5800, 5600,
8000.0, 5600, 5600, 5600, 5600, 5600, 5800, 5800, 5600,
9000.0, 5600, 5600, 5600, 5600, 5600, 5800, 5600, 5600,
10000.0, 5600, 5600, 5600, 5600, 5600, 5800, 5600, 5600,
