Total Designs Scored, Generation #, Lineage 1 Score, Lineage 2 Score, Lineage 3 Score, Lineage 4 Score, Lineage 5 Score, Lineage 6 Score, Lineage 7 Score, Lineage 8 Score,
0, gen0, 210100, 210100, 210100, 210100, 210100, 210100, 210100, 210100
8, 1, 210100, 3565600, 511200, 482400, 1172700, 10257900, 1532300, 4970900, 
24, 2, 210100, 797300, 511200, 461000, 1172700, 5579700, 2250200, 4931000, 
48, 3, 210100, 333500, 372900, 461000, 727300, 662700, 1306000, 4854800, 
64, 4, 210100, 333500, 372900, 461000, 727300, 621400, 1306000, 9457100, 
88, 5, 210100, 333500, 372900, 461000, 727300, 474700, 1222800, 1417200, 
104, 6, 210100, 333500, 242000, 471400, 570100, 474700, 813900, 620600, 
128, 7, 210100, 333500, 242000, 433200, 570100, 382300, 813900, 367100, 
144, 8, 210100, 333500, 242000, 5310500, 570100, 382300, 813900, 367100, 
168, 9, 210100, 333500, 237900, 398000, 570100, 382300, 813900, 367100, 
184, 10, 210100, 333500, 237900, 398000, 570100, 382300, 813900, 367100, 
208, 11, 195800, 333500, 237900, 398000, 570100, 382300, 813900, 367100, 
224, 12, 195800, 333500, 237900, 398000, 570100, 382300, 813900, 367100, 
248, 13, 195800, 273700, 237900, 398000, 570100, 382300, 813900, 367100, 
264, 14, 195800, 273700, 237900, 398000, 443500, 382300, 861900, 367100, 
288, 15, 195800, 273700, 237900, 398000, 443500, 382300, 700900, 367100, 
304, 16, 195800, 273700, 237900, 398000, 368100, 294900, 700900, 367100, 
328, 17, 195800, 273700, 237900, 398000, 368100, 294900, 700900, 367100, 
344, 18, 195800, 273700, 237900, 398000, 368100, 294900, 700900, 367100, 
368, 19, 195800, 273700, 237900, 371600, 368100, 294900, 531900, 367100, 
384, 20, 195800, 273700, 237900, 211100, 368100, 294900, 531900, 298000, 
408, 21, 195800, 232000, 237900, 199100, 368100, 294900, 531900, 298000, 
424, 22, 195800, 232000, 237900, 199100, 368100, 254500, 531900, 298000, 
448, 23, 195800, 232000, 237900, 199100, 368100, 254500, 530100, 298000, 
